id,name,description,theme,resolution,format,provider,reference,reference_detail,latest_year,update_frequency,url
193,"SATELLITE IMAGE LANDSAT-9 ,PAN(15M),OLI-2 (30M) & TIRS-2 (100M)","contains satellite imagery of spatial resolution 30 meters (OLI-2), 100 meters (TIRS-2), 15 meters (panchromatic)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,2024,16 days,https://earthexplorer.usgs.gov/
194,"CIVIC AND OTHER AMENITIES, 2009","contains the Name of Town, Road length (in kms.), System of drainage( Open, Closed, Both -Open & Closed), Number of latrines(Pit System,Flush/Pour Flush (Water borne),Service,Others), Protected water supply(Source of supply, System of storage with capacity in kilo litres), Fire fighting service, Electrification (Number of connections of Domestic, Industrial, Commercial, Road lighting points, others)",Services,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-III_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
195,"MEDICAL FACILITIES, 2009","contains the Name of Town, No. of Medical facilities (with number of beds in brackets) in Hospitals  (Allopathic & Others), Dispensaries / Health Center, Family Welfare Center, Maternity and Child Welfare Center, Maternity Homes,T.B.Hospital/ Clinic,  Nursing Homes, Veterinary Hospital, Mobile Health Clinic and Others etc., Charitable Hospital/Nursing Home  (Numbers), Medicine Shop (Numbers)",Services,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-IV_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
196,"EDUCATIONAL, RECREATIONAL AND CULTURAL FACILITIES, 2009","contains the Name of Town, Number of Educational Facilities(Primary school, Middle school, Secondary school, Senior Secondary school, Arts/ Science/ Commerce colleges (of degree level and above) , Medical colleges,Engineering colleges, Management Institute/ colleges,Polytechnics, Recognised Shorthand, Typewriting and vocational training institutions,Non-formal Education Center (Sarva Shiksha Abhiyan Center), Special School for Disabled, others ), Number of Social, Recreational and Cultural facilities: No. of Orphanage Home, Working women's hostles, No. of Old Age Home, Stadium, Cinema Theatre, Auditorium/ Community halls, Public libraries and Reading rooms",Services,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-V_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
197,"INDUSTRY AND BANKING, 2009","contains the Name of Town, Names of three most important commodities manufactured, Number of banks (Nationalised Bank,Private Commercial Bank,Co-operative Bank), Number of agricultural credit societies, Number of non-agricultural credit societies",Services,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-VI_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
198,"CIVIC AND OTHER AMENITIES IN SLUMS, 2009","contains the Class and name of town, Name of the slum, No. of households (approximate), Population of the Slum (approximate), Paved roads (in kms.), System of drainage( Open, Closed, Both, Nil), Number of latrines, Community, No. of tap points/ public hydrants installed for supply of protected water, Electricity (Number of connections) in Domestic, Road lighting (points) and Others",Services,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-VII_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
199,EDUCATION FACILITIES IN JAIPUR REGION VILLAGES,"This dataset contains the Education Facilities in Jaipur Region Villages based on infrastructure, standard and no. of facilities",Services,Region,Printed table,"Directorate of Census Operations, Rajasthan","Master Development Plan 2025 (2011), vol1","Table 3-17, pg.153",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
200,SMART GOVERNANCE,"This catalog describes the availability of online services for various domains like taxes, challans,fines, service connections, certificates,licenses, tenders, grievance management, tickets & passes, disclosure of documents in yes and no format",Services,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2019,N/A,https://smartcities.data.gov.in/catalog/digital-availability-jaipur
201,CULTURAL HERITAGE JAIPUR,"This catalog provides the Name of heritage,Nature of heritage (open space, monuments, street etc.),Heritage use, Age of heritage ( In Years) ",Services,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2019,N/A,https://smartcities.data.gov.in/catalog/culturalheritagejaipur
202,DIGITAL PAYMENTS JAIPUR,This catalog provides the Total Collection of municipal Amount collected by ticket sale for Bus and Metro Services,Services,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/digital-payments-jaipur
203,COMMUNITY FACILITIES JAIPUR,"This catalog contains the number of ward wise Community Hall / Auditorium / Convention Center / Swimming Pools / Sports Ground / Theatre, Facility Name and capacity",Services,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/community-facilities-jaipur
204,CITIZEN FACILITIES JAIPUR,This catalog provides the citizen facilitation centers with average monthly footfalls,Services,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/citizen-facilities-jaipur
205,AVAILABILITY OF PRIMARY SCHOOLS WITHIN JAIPUR REGION,Map showing the distribution of primary schools across Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-6, pg.160",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
206,ASSESSMENT OF SENIOR SECONDARY SCHOOL AVAILABILITY IN JAIPUR REGION,Map assessing the availability of senior secondary schools in Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-7, pg. 161",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
207,ASSESSMENT OF COLLEGE AVAILABILITY IN JAIPUR REGION,Map evaluating the accessibility of colleges in Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-8, pg. 162",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
208,ASSESSMENT OF HEALTH CENTRE AVAILABILITY IN JAIPUR REGION,Map assessing the distribution of health centers in Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-10, pg.164",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
209,ACCESSIBILITY TO HOSPITALS IN JAIPUR REGION,Map highlighting the accessibility to hospitals in Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-11, pg.165",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
210,BANK FACILITY IN JAIPUR REGION,Map showing the locations of banks within Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-12, pg.166",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
211,AVAILABILITY OF CREDIT BANKING FACILITY IN AGRICULTURE PRODUCTIVE AREAS -JAIPUR REGION,Map indicating credit banking facilities in agricultural areas of Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-13, pg. 167",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
212,AVAILABILITY OF POSTAL SERVICES IN JAIPUR REGION,Map detailing the availability of postal services in Jaipur Region.,Services,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-14, pg. 168",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
213,ROAD NETWORK IN RAJASTHAN (UP TO 31.03.2022),"This dataset contains the Road Network in Rajasthan (up to 31.03.2022) with road category, length (km), and percentage  share as the parameters",Transport Network,State,Printed table,"Public Works Department, Government of Rajasthan","State Road Safety Cell, Department of Transport and Road Safety, Rajasthan",N/A,2022,N/A,https://roadsafetycell.rkcl.in/pageView/token=Q2twNXhhZk9IaklESkMwMGxoaTgwdz09
214,REGIONAL ROAD NETWORK MAP,Shows the regional network map,Transport Network,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-1, pg. 2-3",2018,N/A,Document not yet published
215,DISTRICT ROAD NETWORK-CLASS 1 & CLASS 2 TOWN CONNECTIVITY,This dataset contains district road network for connectivity of class 1& class 2 towns,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-41, pg.118",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
216,DISTRICT ROAD NETWORK - CLASS 2 & CLASS 3 TOWN CONNECTIVITY,This dataset contains district road network for connectivity of class 2& class 3 towns,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-42, pg.119",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
217,DISTRICT ROAD NETWORK - CLASS 3 & CLASS 4 TOWN CONNECTIVITY,This dataset contains district road network for connectivity of class 3& class 4 towns,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-43, pg. 119",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
218,DISTRICT ROAD NETWORK - CLASS 4 & CLASS 5 TOWN CONNECTIVITY,This dataset contains district road network for connectivity of class 4& class 5 towns,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-44, pg. 120",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
219,DISTRICT ROAD NETWORK OPTIMUM CONNECTIVITY,"The map indicates the optimum connectivity of the district over laying the future towns, growth centres, growth foci, focal villages and service villages. Should be used with Table  2-40 (list of the 57 new towns and their class by 2025)",Transport Network,District,Printed map,JDA,sustainable mobility,"Map-2-45, pg. 120",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
220,ROAD NETWORK,This dataset shows Highway Network for JDA Region,Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-6 pg 6-14,2022,N/A,Document not yet published
221,ROAD NETWORK,This dataset shows the Highway Network for JMC Boundary,Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-5 pg 6-13,2022,N/A,Document not yet published
222,BUILT HERITAGE AND CULTURAL TRAIL,Map highlighting significant heritage sites and cultural landmarks in Jaipur.,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-37, pg. 113",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
223,RECREATION AND LEISURE TRAIL,Map showcasing recreational and leisure areas in Jaipur.,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-38, pg. 114",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
224,RELIGIOUS AND SPIRITUAL TRAIL,Map detailing religious and spiritual sites in Jaipur.,Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-39, pg. 115",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
225,AVAILABILITY OF ROAD MARKINGS IN WALLED CITY,Map showing the availability of road markings in the walled city of Jaipur. ,Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-8, Pg. 7-12",2022,N/A,Document not yet published
226,AVAILABILITY OF SIGNAGE IN WALLED CITY,Map showing the availability of Signages in walled city. ,Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-9, Pg. 7-12",2022,N/A,Document not yet published
227,AVAILABILITY OF FOOTPATHS IN WALLED CITY,"Map showing Availability of Footpaths in Walled City
",Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-38, Pg. 7-54",2022,N/A,Document not yet published
228,RIGHT OF WAY (ROW) WIDTHS,"This dataset provides detailed information on the road infrastructure in Jaipur, listing 39 major roads with their respective lengths, right-of-way (ROW), carriage details, and shoulder widths. ",Transport Network,Region,Printed table,DHV Primary Survey,"JDA (2011) Master Development Plan 2025, vol1","Table 4-21, pg.254",2007,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
229,TRANSPORT POTENTIAL IN VILLAGES,"This dataset provides transport potential(High, Low, Medium) analysis in Jaipur District. ",Transport Network,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-25, pg. 89",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
230,ENCROACHED FOOTPATHS IN JAIPUR CITY,Map showing Encroached Footpaths ,Transport Network,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-49, Pg. 7-68",2022,N/A,Document not yet published
231,DEMARCATION OF TRAFFIC ANALYSIS ZONES (TAZ),"This dataset shows the zone list adopted for travel demand modeling is
as same as the zoning adopted",Transport Network,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-4 pg 6-11,2022,N/A,Document not yet published
232,PARKING SITE LOCATIONS IN JAIPUR CITY,"This catalog contains the Name, address, and Physical Coordinates of the  parking site locations in Jaipur city.",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
233,"ON-STREET PARKING ACCUMALATION, SUPPLY AND DEMAND","This dataset provides the existing Parking Accumalation, supply and demand of Parking in the locations, Jauhari Bazaar and the Bapu Bazaar.",Transport Network Assets,City,Printed table,Research Paper,Management of Parking Spaces in the Walled City of Jaipur ,"Table 1, Table 4, Fig 1",2011,N/A,https://old.ccs.in/internship_papers/2011/245_riddhima_management-of-parking-spaces-in-the-walled-city-of-jaipur_second.pdf
234,"OFF-STREET PARKING ACCUMALATION, SUPPLY AND DEMAND PROJECTIONS","This dataset provides the existing Parking Accumalation, supply and demand projections of the Off-Street Parking spaces of different locations.",Transport Network Assets,City,Printed table,Research Paper,Management of Parking Spaces in the Walled City of Jaipur ,"Table 2, Table 5, Fig 3",2011,N/A,https://old.ccs.in/internship_papers/2011/245_riddhima_management-of-parking-spaces-in-the-walled-city-of-jaipur_second.pdf
235,SMART POLE LOCATIONS IN JAIPUR CITY,"This catalog contains the Name, address, and Physical Coordinates of the smart pole location in Jaipur city",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
236,EV CHARGING STATIONS,contains a map on EV charging locations,Transport Network Assets,State,Printed map,BEE,Bureau of Energy Efficiency (2024),N/A,2024,N/A,https://evyatra.beeindia.gov.in/public-charging-stations/
237,STREET LIGHTS DATA JAIPUR,This catalog contains the ward wise data of total no. of poles of LED Bulbs/NonLED Bulbs and  Number of street lights / poles per km of road,Transport Network Assets,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/street-lights-data-jaipur
238,LEVEL INFORMATION FROM MANHOLE SENSORS IN JAIPUR CITY,"This dataset contains the device id, sludge level and observation Date Time of jaipur city",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,2022,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/e2e88fc3-95b2-4fcf-91d1-7c81a9a461d6
239,MANHOLE SENSOR SYSTEMS LOCATIONS IN JAIPUR CITY,"This catalog contains the Name, ID, and Physical Coordinates of the manhole sensor systems in Jaipur City.",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
240,VCC SYSTEM LOCATIONS IN JAIPUR CITY,"This catalog contains the Name, ID,address and Physical Coordinates of the Vehicle Classification Camera(VCC)",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
241,ANPR CAMERA LOCATIONS IN JAIPUR CITY,"This catalog contains the Name,ID, device count, address, and Physical Coordinates of the ANPR Camera locations in Jaipur city",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
242,ENVIRONMENT SENSOR LOCATIONS IN JAIPUR CITY,"This catalog contains the Name, address, and Physical Coordinates of the environment sensor in Jaipur city",Transport Network Assets,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,N/A,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/5004baa8-a1ca-45f0-b639-4cef1ec6b089
243,TRANSPORT ANNUAL REPORT 2022-23,This dataset contains the annual administrative report for the year (2022-23),Transport Statistics,State,Printed table,"Department of transport and road safety, Rajasthan",Annual administrative report (2022-23),N/A,2023,yearly,https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/Statistical-abstract2022-23/prashasnik%20prativedan%202022-23.pdf
244,TRANSPORT DEPT YEARBOOK 2020-21,"This dataset contains the general information,routes and highways, permit and licences, revenue collection, vehicle statistics,road accidents, pollution control, enforcement, and miscellaneous data for Rajasthan(2020-21)",Transport Statistics,State,Printed table,"Transport Department, Govt. of Rajasthan","Transport Department, Government of Rajasthan (2020-21) STATISTICAL YEAR BOOK",N/A,2021,yearly,https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/Statistical%20abstract%202020-21/Transport_Dept_Year_Book.pdf
245,TRANSPORT DEPT YEARBOOK 2019-20,"This dataset contains the general information,routes and highways, permit and licences, revenue collection, vehicle statistics,road accidents, pollution control, enforcement, and miscellaneous data for Rajasthan(2019-20)",Transport Statistics,State,Printed table,"Transport Department, Govt. of Rajasthan","Transport Department, Government of Rajasthan (2019-20) STATISTICAL YEAR BOOK",N/A,2020,yearly,https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/statistical2015-16/Transport%20Dept.%20Statistical%20Year%20Book.pdf
246,TRANSPORT DEPT YEARBOOK 2018-19,"This dataset contains the general information,routes and highways, permit and licences, revenue collection, vehicle statistics,road accidents, pollution control, enforcement, and miscellaneous data for Rajasthan(2019-20)",Transport Statistics,State,Printed table,"Transport Department, Govt. of Rajasthan","Transport Department, Government of Rajasthan (2018-19) STATISTICAL ABSTRACT",N/A,2019,yearly,https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/statistical-abstract2018-19/Trasport%20Department%20Abstract%20Book%2018-19.pdf
247,TRANSPORT ANUUAL PROGRESS REPORT,This dataset contains the annual progress report from 2015-16 to 2021-22 in hindi,Transport Statistics,State,Printed table,"Transport Department, Govt. of Rajasthan",Transport Anuual Progress Report,N/A,2022,yearly,https://transport.rajasthan.gov.in/content/transportportal/en/transport/organisation/AnnualProgressReport.html.html#annualProgressReport
248,TRANSPORT DEPARTMENT STATISTICAL ABSTRACT,This dataset contains the statistical abstract from 2014-2015 to 2019-2020 in English,Transport Statistics,State,Printed table,"Transport Department, Govt. of Rajasthan",STATISTICAL ABSTRACT website,N/A,2020,yearly,https://transport.rajasthan.gov.in/content/transportportal/en/transport/organisation/statistical-information.html
249,TRANSPORTATION OF GOODS VEHICLE MOVEMENT,The routes opted by the goods vehicles within the JDA are presented in this map.,Travel Demand,Region,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Fig. 2-29, Pg. 2-53",2018,N/A,Document not yet published
250,CLASSIFIED TRAFFIC VOLUME COUNTS,This datasheet shows Location-wise Traffic (PCUs) and Share (%) at Outer Cordon Location,Travel Demand,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 3-1, p.g 3-6",2018,N/A,Document not yet published
251,PEAK HOUR TRAFFIC CHARACTERISTICS,This dataset shows presents peak hour traffic and its share in the daily traffic at inner cordon locations.,Travel Demand,City,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Table 3-8, p.g 3-11",2018,N/A,Document not yet published
252,TRAFFIC COMPOSITION,The road-wise traffic composition at inner cordon locations,Travel Demand,City,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Table 3-9 pg no-3-12,2018,N/A,Document not yet published
253,TRAFFIC VOLUME,"This dataset shows the Screen-line volume counts have been carried out at 68 locations across river and railway line
crossings along east-west and north-south corridor.",Travel Demand,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure3-5 pg 3-14,2018,N/A,Document not yet published
254,ORIGIN ‚ÄÌ DESTINATION (O-D) SURVEY,this dadaset represents The O-D sample size collected at outer cordon locations,Travel Demand,City,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Table 3-13 pg 3-17,2018,N/A,Document not yet published
255,PASSENGER TRAVEL COUNT,This dataset contains the Jaipur metro ridership data  since JUn-2015,Travel Demand,City,Printed table,JMRCL,Jaipur Metro Rail Corporation Ltd. (2024),N/A,2024,Monthly,https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/passenger-travelled-count.html
256,SCREEN LINE TRAFFIC MOVEMENT ‚ÄÌ 16 HOURS & 24 HOURS WITH SCREENLINE LOCATION MAP,"This dataset contains the screen line location and traffic movement towards North,south,east,west with the number of vehicles and PCUs",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"Table 2-3, Table 2-4,  Figure 2.8",2009,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
257,PEAK HOUR TRAFFIC AT SCREEN LINE LOCATIONS,"This dataset contains the  Peak Hour Traffic at Screen Line Locations with peak PCU,Daily PCU, peak hour factor in %",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,Table 2-5,2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
258,MIDBLOCK TRAFFIC MOVEMENT - 16 HOURS & 24 HOURS WITH MIDBLOCK LOCATION MAP,"This dataset contains the midblock traffic location and traffic movement towards North,south,east,west with the number of vehicles and PCUs",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"Table 2.6, Table 2.7, Figure 2.10",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
259,PEAK HOUR TRAFFIC AT MIDBLOCK LOCATIONS,"This dataset contains the  Peak Hour Traffic at Midblock Locations with peak PCU,Daily PCU, peak hour factor in %",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,Table 2.8,2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
260,OUTER CORDON TRAFFIC MOVEMENT - 24 HOURS WITH OUTER CORDON LOCATION MAP,This dataset contains the Outer Cordon Traffic location and traffic movement inbound and outbound with the number of vehicles and PCUs,Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"Table 2.9, Figure 2.11",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
261,PEAK HOUR TRAFFIC - OUTER CORDON,"This dataset contains the peak Hour Traffic - Outer Cordon Locations with peak PCU, Daily PCU, and peak hour factor in %",Travel Demand,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,Table 2.10,2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
